cycle,timestamp,elapsed_sec,robot_x,robot_y,heading_deg,vx_mps,vy_mps,omega_dps,speed_mps,state,entry_trench,return_trench,raw_detections,target_valid,tracked_fuel,confirmed_fuel,cluster_count,best_cluster_x,best_cluster_y,best_cluster_score,best_cluster_n,best_cluster_conf,corridor_length,corridor_progress,corridor_lateral_offset,dist_to_corridor_end,guide_point_count,guide_points_detail,corridor_score,max_curvature,avg_curvature,curvature_deriv,heading_rate_change,candidates_accepted,candidates_rejected,rejection_reasons,fuel_ahead_of_progress,marginal_gain,should_return,sim_balls_remaining,active_command,event,clusters_detail,fuel_positions
0,55.615,0.00,3.464,7.482,-0.0,0.00,0.00,0.0,0.00,INIT,RIGHT,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEQUENCE_START entry=RIGHT return=LEFT",,
0,55.616,0.00,3.464,7.482,-0.0,0.00,0.00,0.0,0.00,PATHFIND_TO_ENTRY,RIGHT,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"STATE: PATHFIND_TO_ENTRY",,
5,55.695,0.08,3.469,7.481,-0.1,0.08,-0.02,-9.1,0.08,PATHFIND_TO_ENTRY,RIGHT,LEFT,6,true,6,6,1,6.45,6.60,5.10,6,40.0,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"#0(6.4,6.6)s=5.10 n=6 c=40","(6.7,6.9)c40|(6.7,7.0)c40|(6.6,6.9)c40|(5.9,6.3)c40|(6.6,6.1)c40|(6.1,6.4)c40"
10,55.795,0.18,3.500,7.469,-3.3,0.22,0.12,-57.2,0.25,PATHFIND_TO_ENTRY,RIGHT,LEFT,9,true,9,8,1,6.43,6.38,4.93,8,33.1,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"#0(6.4,6.4)s=4.93 n=8 c=33","(6.7,6.9)c40|(6.7,7.0)c40|(6.6,6.9)c40|(5.9,6.3)c40|(6.6,6.1)c40|(6.1,6.4)c40|(6.3,5.8)c14|(6.4,5.7)c11"
15,55.896,0.28,3.538,7.479,-10.9,0.54,0.16,-99.0,0.56,PATHFIND_TO_ENTRY,RIGHT,LEFT,12,true,12,12,2,6.37,6.18,4.85,11,32.0,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"#0(6.4,6.2)s=4.85 n=11 c=32|#1(6.8,4.9)s=1.81 n=1 c=11","(6.7,6.9)c40|(6.7,7.0)c40|(6.6,6.9)c40|(5.9,6.3)c40|(6.6,6.1)c40|(6.1,6.4)c40|(6.4,5.7)c29|(6.5,5.5)c26|(6.1,5.8)c23|(6.2,5.6)c20|(6.2,5.7)c14|(6.8,4.9)c11"
20,55.995,0.38,3.606,7.475,-21.2,0.84,0.16,-103.7,0.86,PATHFIND_TO_ENTRY,RIGHT,LEFT,16,true,16,16,2,6.37,6.17,4.93,11,38.4,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"#0(6.4,6.2)s=4.93 n=11 c=38|#1(6.8,4.3)s=4.20 n=5 c=17","(6.7,6.9)c40|(6.7,7.0)c40|(6.6,6.9)c40|(5.9,6.3)c40|(6.6,6.1)c40|(6.1,6.4)c40|(6.4,5.7)c40|(6.5,5.5)c40|(6.1,5.8)c38|(6.2,5.6)c35|(6.2,5.7)c29|(6.8,4.9)c26|(6.9,4.4)c20|(6.5,4.4)c14|(6.7,4.3)c14|(6.9,3.8)c11"
25,56.095,0.48,3.701,7.460,-31.5,0.99,0.36,-108.6,1.05,PATHFIND_TO_ENTRY,RIGHT,LEFT,19,true,19,19,2,6.37,6.17,4.97,11,40.0,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"#0(6.4,6.2)s=4.97 n=11 c=40|#1(6.6,4.2)s=4.31 n=8 c=26","(6.7,6.9)c40|(6.7,7.0)c40|(6.6,6.9)c40|(5.9,6.3)c40|(6.6,6.1)c40|(6.1,6.4)c40|(6.4,5.7)c40|(6.5,5.5)c40|(6.1,5.8)c40|(6.2,5.5)c40|(6.2,5.7)c40|(6.8,4.9)c40|(6.9,4.4)c35|(6.5,4.4)c29|(6.7,4.3)c29|(6.9,3.8)c26|(6.2,4.2)c20|(6.3,3.7)c17|(6.3,3.6)c14"
30,56.196,0.58,3.805,7.445,-44.3,0.77,0.68,-147.9,1.03,PATHFIND_TO_ENTRY,RIGHT,LEFT,17,true,20,20,2,6.37,6.17,4.98,11,39.5,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"#0(6.4,6.2)s=4.98 n=11 c=39|#1(6.6,4.1)s=4.41 n=9 c=34","(6.7,6.9)c38|(6.7,7.0)c38|(6.6,6.9)c38|(5.9,6.3)c40|(6.6,6.1)c40|(6.1,6.4)c40|(6.4,5.7)c40|(6.5,5.5)c40|(6.1,5.8)c40|(6.2,5.5)c40|(6.2,5.7)c40|(6.8,4.9)c40|(6.9,4.4)c40|(6.5,4.4)c40|(6.7,4.3)c40|(6.9,3.7)c40|(6.2,4.2)c35|(6.4,3.7)c32|(6.3,3.6)c29|(6.9,3.8)c14"
35,56.295,0.68,3.905,7.443,-60.4,0.60,0.93,-184.6,1.10,PATHFIND_TO_ENTRY,RIGHT,LEFT,15,true,21,21,2,6.37,6.17,4.97,11,37.6,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"#0(6.4,6.2)s=4.97 n=11 c=38|#1(6.6,4.0)s=4.43 n=10 c=37","(6.7,6.9)c33|(6.7,7.0)c33|(6.6,6.9)c33|(5.9,6.3)c39|(6.6,6.1)c38|(6.1,6.4)c38|(6.4,5.7)c40|(6.5,5.5)c40|(6.1,5.8)c40|(6.2,5.5)c40|(6.2,5.7)c40|(6.8,4.9)c40|(6.9,4.4)c40|(6.5,4.4)c40|(6.7,4.3)c40|(6.9,3.6)c40|(6.2,4.2)c40|(6.4,3.7)c40|(6.3,3.6)c40|(6.9,3.8)c29|(6.6,3.3)c17"
40,56.396,0.78,4.015,7.443,-81.2,0.14,1.06,-232.1,1.07,PATHFIND_TO_ENTRY,RIGHT,LEFT,6,true,21,21,2,6.37,6.17,4.93,11,33.3,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"#0(6.4,6.2)s=4.93 n=11 c=33|#1(6.6,4.0)s=4.46 n=10 c=39","(6.7,6.9)c28|(6.7,7.0)c28|(6.6,6.9)c28|(5.9,6.3)c34|(6.6,6.1)c33|(6.1,6.4)c33|(6.4,5.7)c36|(6.5,5.5)c37|(6.1,5.8)c36|(6.2,5.5)c37|(6.2,5.7)c36|(6.8,4.9)c37|(6.9,4.4)c38|(6.5,4.4)c39|(6.7,4.3)c39|(6.8,3.6)c40|(6.2,4.2)c40|(6.4,3.7)c40|(6.3,3.6)c40|(6.9,3.8)c40|(6.6,3.3)c32"
45,56.496,0.88,4.127,7.446,-105.7,-0.27,1.14,-253.8,1.17,PATHFIND_TO_ENTRY,RIGHT,LEFT,0,false,22,21,2,6.37,6.17,4.89,11,28.3,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"#0(6.4,6.2)s=4.89 n=11 c=28|#1(6.6,4.0)s=4.41 n=10 c=34","(6.7,6.9)c23|(6.7,7.0)c23|(6.6,6.9)c23|(5.9,6.3)c29|(6.6,6.1)c28|(6.1,6.4)c28|(6.4,5.7)c31|(6.5,5.5)c32|(6.1,5.8)c31|(6.2,5.5)c32|(6.2,5.7)c31|(6.8,4.9)c32|(6.9,4.4)c33|(6.5,4.4)c34|(6.7,4.3)c34|(6.8,3.6)c35|(6.2,4.2)c36|(6.4,3.7)c36|(6.3,3.6)c36|(6.9,3.8)c35|(6.6,3.3)c31"
50,56.595,0.98,4.256,7.437,-131.1,-0.77,1.10,-253.2,1.35,PATHFIND_TO_ENTRY,RIGHT,LEFT,0,false,21,21,2,6.37,6.17,4.85,11,23.3,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"#0(6.4,6.2)s=4.85 n=11 c=23|#1(6.6,4.0)s=4.36 n=10 c=29","(6.7,6.9)c18|(6.7,7.0)c18|(6.6,6.9)c18|(5.9,6.3)c24|(6.6,6.1)c23|(6.1,6.4)c23|(6.4,5.7)c26|(6.5,5.5)c27|(6.1,5.8)c26|(6.2,5.5)c27|(6.2,5.7)c26|(6.8,4.9)c27|(6.9,4.4)c28|(6.5,4.4)c29|(6.7,4.3)c29|(6.8,3.6)c30|(6.2,4.2)c31|(6.4,3.7)c31|(6.3,3.6)c31|(6.9,3.8)c30|(6.6,3.3)c26"
55,56.695,1.08,4.396,7.416,-153.8,-1.13,0.89,-188.8,1.44,PATHFIND_TO_ENTRY,RIGHT,LEFT,0,false,21,21,2,6.37,6.17,4.81,11,18.3,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"#0(6.4,6.2)s=4.81 n=11 c=18|#1(6.6,4.0)s=4.30 n=10 c=24","(6.7,6.9)c13|(6.7,7.0)c13|(6.6,6.9)c13|(5.9,6.3)c19|(6.6,6.1)c18|(6.1,6.4)c18|(6.4,5.7)c21|(6.5,5.5)c22|(6.1,5.8)c21|(6.2,5.5)c22|(6.2,5.7)c21|(6.8,4.9)c22|(6.9,4.4)c23|(6.5,4.4)c24|(6.7,4.3)c24|(6.8,3.6)c25|(6.2,4.2)c26|(6.4,3.7)c26|(6.3,3.6)c26|(6.9,3.8)c25|(6.6,3.3)c21"
60,56.795,1.18,4.548,7.389,-169.2,-1.35,0.43,-120.6,1.41,PATHFIND_TO_ENTRY,RIGHT,LEFT,0,false,21,18,2,6.25,5.89,4.72,8,15.3,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"#0(6.3,5.9)s=4.72 n=8 c=15|#1(6.6,4.0)s=4.25 n=10 c=19","(5.9,6.3)c14|(6.6,6.1)c13|(6.1,6.4)c13|(6.4,5.7)c16|(6.5,5.5)c17|(6.1,5.8)c16|(6.2,5.5)c17|(6.2,5.7)c16|(6.8,4.9)c17|(6.9,4.4)c18|(6.5,4.4)c19|(6.7,4.3)c19|(6.8,3.6)c20|(6.2,4.2)c21|(6.4,3.7)c21|(6.3,3.6)c21|(6.9,3.8)c20|(6.6,3.3)c16"
61,56.835,1.22,4.609,7.385,-173.5,-1.40,0.23,-94.4,1.42,FOLLOW_ENTRY_TRENCH,RIGHT,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"STATE: FOLLOW_ENTRY_TRENCH",,
65,56.896,1.28,4.700,7.385,-178.1,-1.44,0.02,-57.9,1.44,FOLLOW_ENTRY_TRENCH,RIGHT,LEFT,0,false,21,15,2,6.37,5.52,4.55,6,11.5,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"#0(6.4,5.5)s=4.55 n=6 c=12|#1(6.6,3.9)s=4.20 n=9 c=14","(6.4,5.7)c11|(6.5,5.5)c12|(6.1,5.8)c11|(6.2,5.5)c12|(6.2,5.7)c11|(6.8,4.9)c12|(6.9,4.4)c13|(6.5,4.4)c14|(6.7,4.3)c14|(6.8,3.6)c15|(6.2,4.2)c16|(6.4,3.7)c16|(6.3,3.6)c16|(6.9,3.8)c15|(6.6,3.3)c11"
70,56.995,1.38,4.850,7.408,178.6,-1.48,-0.35,-6.5,1.52,FOLLOW_ENTRY_TRENCH,RIGHT,LEFT,0,false,18,5,1,6.52,3.79,4.16,5,10.6,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"#0(6.5,3.8)s=4.16 n=5 c=11","(6.8,3.6)c10|(6.2,4.2)c11|(6.4,3.7)c11|(6.3,3.6)c11|(6.9,3.8)c10"
75,57.095,1.48,5.015,7.433,178.8,-1.87,-0.25,7.7,1.88,FOLLOW_ENTRY_TRENCH,RIGHT,LEFT,0,false,15,0,0,,,,,,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"",""
80,57.195,1.58,5.219,7.451,179.5,-2.18,-0.19,4.6,2.18,FOLLOW_ENTRY_TRENCH,RIGHT,LEFT,0,false,3,0,0,,,,,,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"",""
85,57.295,1.68,5.448,7.467,179.8,-2.38,-0.16,2.4,2.39,FOLLOW_ENTRY_TRENCH,RIGHT,LEFT,0,false,0,0,0,,,,,,,,,,0,"",1.00,0.000,0.000,0.000,0.0,,,,,,,142,FuelCollection_DriverButton,,"",""
